Pergunta,Resposta
Como importar uma variável ou função de um módulo em JavaScript?,"Usa-se a palavra-chave `import`. Por exemplo: `import { minhaVariavel, minhaFuncao } from './meuModulo.js';`"
O que é uma exportação padrão (default export) em JavaScript?,Uma exportação padrão permite exportar um único valor de um módulo sem especificar um nome. Por exemplo: `export default minhaFuncao;`
Como importar uma exportação padrão em JavaScript?,Usa-se a palavra-chave `import` sem as chaves. Por exemplo: `import minhaFuncao from './meuModulo.js';`
O que é o objeto `Math` em JavaScript?,O objeto `Math` fornece propriedades e métodos para operações matemáticas.
Quais são alguns métodos comuns do objeto `Math` em JavaScript?,"Alguns métodos comuns são `Math.random()`, `Math.round()`, `Math.ceil()`, `Math.floor()`, `Math.abs()`, `Math.max()`, `Math.min()`, `Math.pow()`, `Math.sqrt()`."
O que é o objeto `Date` em JavaScript?,O objeto `Date` é usado para trabalhar com datas e horários.
Como criar um novo objeto `Date` em JavaScript?,"Usa-se o construtor `new Date()`. Pode ser criado sem argumentos (data e hora atuais), com um timestamp em milissegundos, com uma string de data ou com argumentos separados para ano, mês, dia, etc."
"Como obter o ano, mês, dia, hora, minuto, segundo e milissegundo de um objeto `Date` em JavaScript?","Usam-se os métodos `getFullYear()`, `getMonth()`, `getDate()`, `getHours()`, `getMinutes()`, `getSeconds()`, `getMilliseconds()`."
Como formatar uma data em JavaScript?,"Pode-se usar os métodos `toLocaleDateString()`, `toLocaleTimeString()` ou `toLocaleString()` para formatar a data e a hora de acordo com a localidade do usuário.  Também se pode usar o método `Intl.DateTimeFormat` para formatação mais avançada."
O que é o método `setTimeout()` em JavaScript?,`setTimeout()` executa uma função ou trecho de código após um determinado período de tempo (em milissegundos).
O que é o método `setInterval()` em JavaScript?,`setInterval()` executa uma função ou trecho de código repetidamente em intervalos regulares (em milissegundos).
Como cancelar um `setTimeout()` em JavaScript?,Usa-se a função `clearTimeout()` passando o ID retornado por `setTimeout()` como argumento.
Como cancelar um `setInterval()` em JavaScript?,Usa-se a função `clearInterval()` passando o ID retornado por `setInterval()` como argumento.
O que são expressões regulares em JavaScript?,Expressões regulares são padrões usados para corresponder a combinações de caracteres em strings.
Como criar uma expressão regular em JavaScript?,Pode-se criar uma expressão regular usando um literal (entre barras `/`) ou usando o construtor `new RegExp()`.
Quais são alguns métodos comuns para trabalhar com expressões regulares em JavaScript?,"Alguns métodos comuns são `test()`, `exec()`, `match()`, `search()`, `replace()`, `split()`."
O que é o método `String.prototype.trim()` em JavaScript?,`trim()` remove os espaços em branco do início e do final de uma string.
O que é o método `String.prototype.toUpperCase()` em JavaScript?,`toUpperCase()` converte todos os caracteres de uma string para maiúsculas.
O que é o método `String.prototype.toLowerCase()` em JavaScript?,`toLowerCase()` converte todos os caracteres de uma string para minúsculas.
O que é o método `String.prototype.substring()` em JavaScript?,`substring()` retorna uma parte da string entre os índices especificados.
O que é o método `String.prototype.slice()` em JavaScript?,"`slice()` extrai uma seção de uma string e retorna uma nova string. É similar a `substring()`, mas aceita índices negativos."
O que é o método `String.prototype.replace()` em JavaScript?,`replace()` retorna uma nova string com algumas ou todas as correspondências de um padrão substituídas por um substituto.
O que é o método `String.prototype.split()` em JavaScript?,"`split()` divide uma string em um array de substrings, usando um separador especificado."
O que é o método `Array.prototype.push()` em JavaScript?,`push()` adiciona um ou mais elementos ao final de um array e retorna o novo comprimento do array.
O que é o método `Array.prototype.pop()` em JavaScript?,`pop()` remove o último elemento de um array e retorna esse elemento.
O que é o método `Array.prototype.shift()` em JavaScript?,`shift()` remove o primeiro elemento de um array e retorna esse elemento.
O que é o método `Array.prototype.unshift()` em JavaScript?,`unshift()` adiciona um ou mais elementos ao início de um array e retorna o novo comprimento do array.
O que é o método `Array.prototype.concat()` em JavaScript?,`concat()` retorna um novo array que é a combinação de dois ou mais arrays.
O que é o método `Array.prototype.join()` em JavaScript?,"`join()` retorna uma nova string concatenando todos os elementos de um array, separados por um separador especificado."
O que é o método `Array.prototype.splice()` em JavaScript?,"`splice()` altera o conteúdo de um array, removendo ou substituindo elementos existentes e/ou adicionando novos elementos no local."
O que é o método `Array.prototype.indexOf()` em JavaScript?,"`indexOf()` retorna o primeiro índice em que um dado elemento pode ser encontrado no array, ou -1 se ele não estiver presente."
O que é o método `Array.prototype.includes()` em JavaScript?,"`includes()` determina se um array contém um determinado elemento, retornando `true` ou `false` conforme apropriado."
O que são erros em JavaScript?,"Erros são problemas que ocorrem durante a execução do código, interrompendo o fluxo normal do programa."
Quais são alguns tipos comuns de erros em JavaScript?,"Alguns tipos comuns são `TypeError`, `ReferenceError`, `SyntaxError`, `RangeError`, `URIError`."
Como tratar erros em JavaScript usando `try...catch`?,O bloco `try` contém o código que pode gerar um erro. O bloco `catch` contém o código que é executado se um erro for lançado dentro do bloco `try`.
O que é o bloco `finally` em um bloco `try...catch`?,"O bloco `finally` contém o código que é sempre executado, independentemente de um erro ter sido lançado ou não no bloco `try`."
Como lançar um erro personalizado em JavaScript?,Usa-se a palavra-chave `throw` seguida de um objeto `Error` ou qualquer outro valor.
O que é o modo estrito (strict mode) em JavaScript?,"O modo estrito é uma forma de executar o JavaScript de forma mais ""segura"", aplicando regras mais rigorosas e eliminando alguns comportamentos ""perigosos"" da linguagem."
Como ativar o modo estrito em JavaScript?,"Adiciona-se a string `""use strict"";` no início de um script ou de uma função."
Quais são alguns benefícios de usar o modo estrito em JavaScript?,"O modo estrito ajuda a prevenir erros comuns, torna o código mais fácil de depurar e melhora o desempenho."
O que é o método `Array.isArray()` em JavaScript?,"`Array.isArray()` retorna `true` se um objeto é um array, caso contrário, retorna `false`."
O que é o método `Number.isNaN()` em JavaScript?,`Number.isNaN()` determina se um valor é `NaN` (Not-a-Number). É mais confiável que a função global `isNaN()`.
O que é o método `Number.isFinite()` em JavaScript?,`Number.isFinite()` determina se um valor é um número finito.
O que é o objeto `Map` em JavaScript?,`Map` é uma coleção de pares chave-valor onde as chaves podem ser de qualquer tipo de dado.
O que é o objeto `Set` em JavaScript?,`Set` é uma coleção de valores únicos.
O que é o Garbage Collection em JavaScript?,Garbage Collection é o processo automático de gerenciamento de memória em JavaScript.  O coletor de lixo identifica e libera memória que não está mais sendo usada pelo programa.
O que é o método `encodeURIComponent()` em JavaScript?,"`encodeURIComponent()` codifica um componente URI (Uniform Resource Identifier) substituindo cada instância de certos caracteres por uma, duas, três ou quatro sequências de escape representando a codificação UTF-8 do caractere."
O que é o método `decodeURIComponent()` em JavaScript?,`decodeURIComponent()` decodifica um componente URI (Uniform Resource Identifier) que foi previamente criado por `encodeURIComponent()`
O que é o método `encodeURI()` em JavaScript?,"`encodeURI()` codifica um URI (Uniform Resource Identifier) substituindo cada instância de certos caracteres por uma, duas, três ou quatro sequências de escape representando a codificação UTF-8 do caractere (exceto os caracteres que possuem um significado especial em um URI)."
O que é o método `decodeURI()` em JavaScript?,`decodeURI()` decodifica um URI (Uniform Resource Identifier) que foi previamente criado por `encodeURI()`
O que é JSONP? E por que é usado?,"JSONP (JSON with Padding) é uma técnica para contornar a política de mesma origem (same-origin policy) em navegadores, permitindo que páginas da web obtenham dados de um servidor em um domínio diferente.  Utiliza a tag `<script>` para fazer a requisição. *Nota: É uma técnica mais antiga e menos segura que CORS.*"
O que é CORS? E como funciona?,CORS (Cross-Origin Resource Sharing) é um mecanismo que permite que recursos restritos em uma página da web sejam requisitados de outro domínio fora do domínio do qual o primeiro recurso foi servido.  O servidor responde com cabeçalhos HTTP que indicam se a requisição cross-origin é permitida.
O que é o tipo de dado `Symbol` em JavaScript?,`Symbol` é um tipo de dado primitivo cujas instâncias são únicas e imutáveis. São frequentemente usados como chaves de propriedades de objetos para evitar conflitos de nomes.
O que são WeakMaps em JavaScript?,"WeakMaps são coleções de pares chave-valor onde as chaves devem ser objetos e os objetos são mantidos ""fracos"". Isso significa que se não houver outras referências a esses objetos, o garbage collector pode liberá-los, e suas entradas correspondentes no WeakMap serão removidas automaticamente."
O que são WeakSets em JavaScript?,"WeakSets são coleções de objetos onde os objetos são mantidos ""fracos"". Similar aos WeakMaps, se não houver outras referências a esses objetos, o garbage collector pode liberá-los, e os objetos são removidos do WeakSet automaticamente."
"O que é ""Shadow DOM""?","Shadow DOM é uma tecnologia do navegador que permite encapsular o conteúdo de um componente web, isolando-o do DOM principal. Isso permite que você crie componentes reutilizáveis com seus próprios estilos e scripts, sem se preocupar com conflitos com o restante da página."
Explique o conceito de Imutabilidade em JavaScript.,"Imutabilidade significa que, uma vez que um valor é criado, ele não pode ser alterado. Objetos e arrays em JavaScript são mutáveis por padrão. Para trabalhar com imutabilidade, você pode usar técnicas como `Object.freeze()`, `const` para variáveis de referência ou bibliotecas que fornecem estruturas de dados imutáveis."
O que são funções puras em JavaScript?,Uma função pura é uma função que sempre retorna o mesmo resultado para as mesmas entradas e não tem efeitos colaterais observáveis. Isso significa que ela não modifica o estado externo à função.
O que são Efeitos Colaterais (Side Effects) em JavaScript?,"Efeitos colaterais são alterações de estado ou interações com o mundo externo que ocorrem como resultado da execução de uma função. Exemplos incluem modificar variáveis globais, fazer requisições HTTP, ou interagir diretamente com o DOM."
O que é memoization?,"Memoization é uma técnica de otimização onde os resultados de chamadas de funções caras (computacionalmente) são armazenados em cache e reutilizados quando as mesmas entradas ocorrem novamente, evitando recalcular o resultado."
O que é o padrão de projeto Módulo (Module Pattern) em JavaScript?,O padrão de projeto Módulo é uma forma de encapsular código JavaScript para criar interfaces públicas e manter o estado privado. Ele geralmente usa closures para proteger variáveis internas do acesso externo.
O que é o padrão de projeto Revelador de Módulo (Revealing Module Pattern) em JavaScript?,"O padrão de projeto Revelador de Módulo é uma variação do padrão de projeto Módulo onde você define todas as funções e variáveis privadas dentro do closure e, em seguida, revela seletivamente as funções públicas retornando um objeto com referências a essas funções."
O que é um Polyfill?,Um Polyfill é um trecho de código (geralmente JavaScript) que fornece a funcionalidade que você espera que o navegador forneça nativamente. É usado para fornecer suporte a recursos modernos em navegadores mais antigos que não os implementam.
"Explique a diferença entre ""feature detection"" e ""user agent sniffing"".","""Feature detection"" envolve verificar se um determinado recurso está disponível no navegador antes de usá-lo. ""User agent sniffing"" envolve analisar a string do agente do usuário para identificar o navegador e a versão, o que é menos confiável e mais propenso a erros."
O que é um Service Worker?,"Um Service Worker é um script JavaScript que roda em segundo plano, separado da página da web, interceptando e controlando solicitações de rede, gerenciando cache e enviando notificações push. É uma tecnologia essencial para Progressive Web Apps (PWAs)."
Como verificar se um valor é um objeto em JavaScript (excluindo null)?,Uma maneira é usar `typeof valor === 'object' && valor !== null`.
O que é o operador `in` em JavaScript?,O operador `in` retorna `true` se uma propriedade especificada existe no objeto especificado ou em sua cadeia de protótipos. Por exemplo: `'propriedade' in objeto`.
O que é o `Proxy` object em JavaScript?,"O `Proxy` object permite interceptar e personalizar operações fundamentais em objetos (por exemplo, leitura de propriedades, atribuição, enumeração, chamadas de função). Ele cria um ""proxy"" para outro objeto, permitindo que você controle seu comportamento."
O que é o `Reflect` object em JavaScript?,O `Reflect` object é um objeto embutido que fornece métodos que interceptam operações JavaScript. Ele não é um construtor (você não pode usar `new Reflect()`) e seus métodos são os mesmos que os manipuladores de Proxy.
"Qual a diferença entre ""shallow copy"" e ""deep copy"" de um objeto em JavaScript?","Um ""shallow copy"" cria um novo objeto, mas as propriedades que contêm objetos ou arrays são apenas referências aos mesmos objetos ou arrays originais. Um ""deep copy"" cria um novo objeto e copia todos os objetos e arrays aninhados recursivamente, resultando em objetos totalmente independentes."
"Como criar um ""deep copy"" de um objeto em JavaScript?","Uma maneira comum é usar `JSON.parse(JSON.stringify(objeto))`, mas isso tem limitações (por exemplo, não funciona com funções ou objetos que contêm referências circulares). Outras opções incluem usar bibliotecas especializadas ou implementar uma função de cópia recursiva."
O que é o padrão Observer?,"O padrão Observer define uma dependência um-para-muitos entre objetos, de forma que quando um objeto muda de estado, todos os seus dependentes são notificados e atualizados automaticamente."
O que são IIFEs (Immediately Invoked Function Expressions)?,IIFEs são funções JavaScript que são executadas assim que são definidas. Elas são frequentemente usadas para criar escopos privados para evitar conflitos de nomes no escopo global. Um exemplo: `(function() { /* código */ })();`
"Explique o conceito de ""prototype chain"" em JavaScript.","A ""prototype chain"" é um mecanismo em JavaScript onde os objetos herdam propriedades e métodos de seus protótipos. Quando uma propriedade é acessada em um objeto, o JavaScript primeiro procura a propriedade no próprio objeto. Se não for encontrada, ele procura no protótipo do objeto e assim por diante, até atingir o protótipo `null`."
Como criar herança prototipal em JavaScript?,"Isso pode ser feito definindo o protótipo do novo objeto para uma instância do objeto pai. Por exemplo, usando `Object.create(ObjetoPai.prototype)`."
O que é `WeakRef` em JavaScript?,"`WeakRef` é uma maneira de manter uma referência fraca a outro objeto, o que significa que o objeto referenciado não é mantido vivo apenas por causa da referência `WeakRef`. É útil para evitar vazamentos de memória em cenários onde você precisa manter uma referência a um objeto, mas não quer impedir que ele seja coletado pelo garbage collector."
O que é FinalizationRegistry em JavaScript?,`FinalizationRegistry` permite registrar uma função para ser chamada quando um objeto específico é coletado pelo coletor de lixo. É usado em conjunto com `WeakRef` para executar ações de limpeza quando um objeto é liberado da memória.
O que é o Intl.NumberFormat em JavaScript?,"O objeto `Intl.NumberFormat` é um construtor que permite formatar números de acordo com uma localidade específica. Ele permite formatar moedas, porcentagens e números gerais com opções como separadores de milhares, casas decimais e símbolos de moeda.

**Pergunta"
Qual é a diferença entre `null` e `undefined` em JavaScript?,"`null` é um valor de atribuição. Ele representa a ausência intencional de um valor. `undefined` significa que uma variável foi declarada, mas ainda não recebeu um valor."
Como você declara uma constante em JavaScript?,Usando a palavra-chave `const`. Exemplo: `const PI = 3.14159;`
Qual é a diferença entre `==` e `===` em JavaScript?,"`==` compara apenas o valor, realizando conversão de tipo se necessário. `===` compara tanto o valor quanto o tipo, sem conversão de tipo."
Como você itera sobre as propriedades de um objeto em JavaScript?,"Usando o loop `for...in`. Exemplo: `for (let key in obj) { console.log(key, obj[key]); }`"
Como você cria um novo objeto em JavaScript usando a notação literal?,"Usando chaves `{}` e definindo as propriedades com pares chave-valor. Exemplo: `let obj = { nome: ""João"", idade: 30 };`"
Qual é o propósito da palavra-chave `this` em JavaScript?,`this` refere-se ao contexto de execução atual. Seu valor depende de como a função é chamada.
Como você converte uma string para um número em JavaScript?,"Usando `parseInt()` ou `parseFloat()`. Exemplo: `parseInt(""10"");`, `parseFloat(""3.14"");`"
O que é um array em JavaScript?,"Um array é uma coleção ordenada de valores, que podem ser de qualquer tipo de dado."
Como você adiciona um elemento ao final de um array em JavaScript?,"Usando o método `push()`. Exemplo: `array.push(""novo elemento"");`"
Como você remove o último elemento de um array em JavaScript?,Usando o método `pop()`. Exemplo: `array.pop();`
Como você declara uma função anônima em JavaScript?,"Uma função anônima é uma função sem nome. Exemplo: `function() { console.log(""Função anônima""); }`"
O que é o operador `typeof` em JavaScript?,"Retorna uma string indicando o tipo de dado de um operando. Exemplo: `typeof 10; // ""number""`"
Como você cria uma cópia superficial (shallow copy) de um objeto em JavaScript?,Usando o operador spread (`...`) ou o método `Object.assign()`.
O que é o método `map()` em JavaScript?,O método `map()` cria um novo array com os resultados da chamada de uma função fornecida em cada elemento do array original.
O que é o método `filter()` em JavaScript?,O método `filter()` cria um novo array com todos os elementos que passam no teste implementado pela função fornecida.
O que é o método `reduce()` em JavaScript?,"O método `reduce()` executa uma função reducer (fornecida por você) em cada elemento do array, resultando em um único valor de retorno."
Como você verifica se uma variável é um array em JavaScript?,"Usando o método `Array.isArray()`. Exemplo: `Array.isArray([1, 2, 3]); // true`"
Qual a diferença entre `let` e `var` em JavaScript?,"`var` tem escopo de função ou global, enquanto `let` tem escopo de bloco. `let` não permite redeclaração dentro do mesmo escopo."
Como você define um valor padrão para um parâmetro de função em JavaScript?,"Usando atribuição dentro da declaração do parâmetro. Exemplo: `function saudacao(nome = ""Visitante"") { ... }`"
O que é template literals em JavaScript?,"São strings que permitem expressões embutidas. Delimitadas por backticks (``). Exemplo: `let nome = ""João""; console.log(`Olá, ${nome}!`);`"
O que é o operador spread (...) em JavaScript?,Permite expandir um iterável (como um array ou objeto) em locais onde múltiplos argumentos (para chamadas de função) ou múltiplos elementos (para literais de array) são esperados.
O que são arrow functions em JavaScript?,"São uma forma mais concisa de escrever funções, especialmente úteis para funções anônimas. Exemplo: `let soma = (a, b) => a + b;`"
Como você impede que um evento padrão ocorra em JavaScript?,Usando o método `preventDefault()` no objeto do evento.
