Pergunta,Resposta
Como você para a propagação de um evento em JavaScript?,Usando o método `event.stopPropagation()` dentro da função de tratamento do evento.
O que é o objeto `arguments` em JavaScript?,"Dentro de uma função, `arguments` é um objeto semelhante a um array que contém todos os argumentos passados para a função."
Como você declara uma função anônima em JavaScript?,`function() { // código da função }`.
O que é uma função de ordem superior em JavaScript?,É uma função que recebe outras funções como argumentos ou retorna uma função como resultado.
Qual a diferença entre `forEach()` e `map()` em arrays?,"`forEach()` itera sobre os elementos de um array, mas não retorna um novo array. `map()` itera sobre os elementos e retorna um novo array com os resultados da função aplicada a cada elemento."
O que é JSON e como é usado em JavaScript?,"JSON (JavaScript Object Notation) é um formato de dados leve e legível para humanos. Em JavaScript, é usado para transmitir dados entre um servidor e um cliente (geralmente através de APIs)."
Como você converte um objeto JavaScript em JSON?,Usando `JSON.stringify(objeto)`.
Como você converte uma string JSON em um objeto JavaScript?,Usando `JSON.parse(string)`.
O que é o operador `typeof` em JavaScript?,É um operador que retorna uma string indicando o tipo de dado de um operando.
Como você pode verificar se um objeto tem uma propriedade específica em JavaScript?,Usando o operador `in` ou o método `hasOwnProperty()`.
O que é o `this` em JavaScript?,`this` se refere ao objeto que está executando o código JavaScript atual. Seu valor depende de como a função é chamada.
O que são arrow functions em JavaScript?,"São uma forma mais concisa de escrever funções, introduzidas no ES6. Elas têm uma sintaxe mais curta e não têm seu próprio `this`."
Como você lida com erros em JavaScript?,Usando blocos `try...catch...finally`.
O que é o bloco `finally` em um bloco `try...catch`?,"O bloco `finally` sempre é executado após os blocos `try` e `catch`, independentemente de um erro ter ocorrido ou não."
Como você lança um erro manualmente em JavaScript?,"Usando a instrução `throw new Error(""Mensagem de erro"")`."
O que são Promises em JavaScript?,Promises são objetos que representam a eventual conclusão (ou falha) de uma operação assíncrona e seu valor resultante.
Quais são os estados de uma Promise?,"Pending (pendente), Fulfilled (cumprida) e Rejected (rejeitada)."
Como você lida com o resultado de uma Promise?,Usando os métodos `.then()` (para sucesso) e `.catch()` (para falha).
O que é `async/await` em JavaScript?,"`async/await` é uma sintaxe para lidar com Promises de forma mais síncrona e legível. `async` declara uma função assíncrona, e `await` pausa a execução da função até que uma Promise seja resolvida."
O que são módulos em JavaScript?,Módulos são arquivos JavaScript que exportam e importam funcionalidades para outros arquivos.
Como você exporta funcionalidades de um módulo em JavaScript?,"Usando `export` (pode ser `export default` para exportar um único valor padrão ou `export { nome1, nome2 }` para exportar múltiplos valores)."
Como você importa funcionalidades de um módulo em JavaScript?,"Usando `import` (pode ser `import valorPadrao from './modulo.js'` ou `import { nome1, nome2 } from './modulo.js'`)."
O que é o DOM em JavaScript?,"DOM (Document Object Model) é uma representação em árvore da estrutura de um documento HTML ou XML, permitindo que JavaScript acesse e manipule o conteúdo, a estrutura e o estilo do documento."
Como você seleciona um elemento HTML pelo ID usando JavaScript?,"Usando `document.getElementById(""idDoElemento"")`."
Como você seleciona elementos HTML por classe usando JavaScript?,"Usando `document.getElementsByClassName(""nomeDaClasse"")`."
Como você seleciona elementos HTML por tag name usando JavaScript?,"Usando `document.getElementsByTagName(""nomeDaTag"")`."
Como você adiciona um novo elemento HTML ao DOM usando JavaScript?,"Primeiro, crie o elemento com `document.createElement(""tagName"")`. Depois, adicione-o ao DOM usando métodos como `appendChild()`, `insertBefore()`, etc."
Como você altera o texto de um elemento HTML usando JavaScript?,Acessando a propriedade `textContent` ou `innerText` do elemento.
Como você adiciona um atributo a um elemento HTML usando JavaScript?,"Usando o método `setAttribute(""nomeDoAtributo"", ""valorDoAtributo"")`."
Como você remove um atributo de um elemento HTML usando JavaScript?,"Usando o método `removeAttribute(""nomeDoAtributo"")`."
Como você adiciona um evento a um elemento HTML usando JavaScript?,"Usando o método `addEventListener(""nomeDoEvento"", funcaoDeCallback)`."
O que é o event loop em JavaScript?,"O event loop é um mecanismo que permite que o JavaScript, que é single-threaded (executa uma tarefa por vez), execute operações assíncronas de forma eficiente."
O que são callbacks em JavaScript?,Callbacks são funções passadas como argumentos para outras funções e são executadas quando a função principal termina sua execução.
Qual a diferença entre funções síncronas e assíncronas?,Funções síncronas bloqueiam a execução do código até que terminem. Funções assíncronas permitem que o código continue a ser executado enquanto esperam que a operação assíncrona seja concluída.
O que é o método `setTimeout()` em JavaScript?,`setTimeout()` agenda a execução de uma função após um determinado período de tempo (em milissegundos).
O que é o método `setInterval()` em JavaScript?,`setInterval()` repete a execução de uma função em intervalos regulares (em milissegundos).
Como você para a execução de um `setInterval()`?,Usando `clearInterval(idDoIntervalo)`.
O que é o método `clearTimeout()` em JavaScript?,`clearTimeout()` cancela um timeout definido com `setTimeout()`.
Qual a diferença entre funções declaradas e expressões de função?,"Funções declaradas são hoisted (elevadas ao topo do escopo), enquanto expressões de função não são hoisted."
O que é um Immediately Invoked Function Expression (IIFE)?,É uma função JavaScript que é executada assim que é definida.
Qual é o propósito de um IIFE?,Criar um escopo privado para evitar conflitos de nomes de variáveis com o escopo global.
O que é o modo strict em JavaScript?,"É um modo que aplica regras mais rígidas ao código JavaScript, ajudando a prevenir erros comuns e a otimizar o desempenho."
Como você ativa o modo strict em JavaScript?,"Adicionando a string `""use strict"";` no início de um script ou função."
O que são template literals tagged?,"São template literals precedidas por uma função (a tag), que pode processar o template literal antes de retornar a string final."
Como você cria uma template literal tagged?,`tag\`String com ${variavel}\``
O que é a spread syntax (...) em JavaScript?,A spread syntax permite expandir um iterável (como um array ou string) em locais onde zero ou mais argumentos (para chamadas de função) ou elementos (para literais de array) são esperados.
Como você usa a spread syntax para copiar um array?,`const novoArray = [...arrayOriginal]`
Como você usa a spread syntax para juntar dois arrays?,"`const arrayFinal = [...array1, ...array2]`"
O que é o rest parameter em JavaScript?,O rest parameter permite que uma função aceite um número indefinido de argumentos como um array.
Como você usa o rest parameter em uma função?,`function minhaFuncao(...args) { // args é um array com os argumentos passados }`
O que é destructuring em JavaScript?,Destructuring é uma forma de extrair valores de objetos ou arrays e atribuí-los a variáveis.
Como você usa destructuring para extrair valores de um objeto?,"`const { propriedade1, propriedade2 } = objeto`"
Como você usa destructuring para extrair valores de um array?,"`const [elemento1, elemento2] = array`"
O que são object literals enhanced em JavaScript?,"São formas mais concisas de criar objetos, como omitir a propriedade e o valor se tiverem o mesmo nome e usar nomes de métodos mais curtos."
Como você usa shorthand property names em object literals enhanced?,"`const nome = ""João""; const idade = 30; const pessoa = { nome, idade };`"
O que são default parameters em funções JavaScript?,São valores padrão atribuídos a parâmetros de função se nenhum valor for passado quando a função for chamada.
Como você define um default parameter em uma função?,`function minhaFuncao(parametro = valorPadrao) { // ... }`
O que são generators em JavaScript?,"Generators são funções que podem ser pausadas e retomadas, permitindo a criação de iteradores personalizados."
Como você declara uma função generator em JavaScript?,`function* minhaFuncaoGenerator() { // ... yield valor; }`
O que é a palavra-chave `yield` em generators?,`yield` pausa a execução da função generator e retorna um valor.
O que é o método `next()` em um objeto generator?,`next()` retoma a execução da função generator até o próximo `yield` ou até o final da função.
O que são iterators em JavaScript?,Iterators são objetos que definem uma sequência e um valor de retorno ao final dessa sequência.
Qual o método fundamental para criar um iterator?,O método `next()`.
O que é um símbolo em JavaScript?,"Um símbolo é um tipo de dado primitivo único e imutável, usado principalmente como chaves de propriedade de objeto para evitar colisões de nomes."
Como você cria um símbolo em JavaScript?,"`const meuSimbolo = Symbol(""descrição"")`"
Qual a finalidade de usar símbolos como chaves de propriedades de objeto?,"Criar propriedades privadas, pois elas não são acessíveis por métodos convencionais de iteração."
O que são WeakMaps e WeakSets em JavaScript?,"WeakMaps e WeakSets são coleções que mantêm referências ""fracas"" para objetos. Isso significa que, se não houver outras referências para um objeto contido em um WeakMap ou WeakSet, o objeto pode ser coletado pelo garbage collector."
Qual a principal diferença entre um Map e um WeakMap?,"As chaves de um WeakMap precisam ser objetos, enquanto as chaves de um Map podem ser de qualquer tipo de dado."
Qual a principal diferença entre um Set e um WeakSet?,Um WeakSet só pode conter objetos e não é iterável.
O que é a propriedade `prototype` em JavaScript?,É um objeto associado a cada função que serve como um modelo para outros objetos.
Como você usa o prototype para adicionar métodos a todos os objetos de um determinado tipo?,`TipoDeObjeto.prototype.novoMetodo = function() { // código do método }`
O que é herança prototipal em JavaScript?,É um mecanismo onde objetos herdam propriedades e métodos de outros objetos através da cadeia de protótipos.
O que é a palavra-chave `super` em JavaScript?,`super` é usado para chamar funções no objeto pai de uma classe.
Como você usa `super()` em um construtor de classe?,`super()` chama o construtor da classe pai.
O que são classes em JavaScript (ES6)?,"Classes são uma forma de sintaxe mais clara para criar objetos e lidar com herança em JavaScript, baseada no sistema de protótipos existente."
Como você define uma classe em JavaScript?,`class MinhaClasse { constructor() { } }`
O que é um construtor em uma classe JavaScript?,É um método especial dentro de uma classe que é executado quando um novo objeto da classe é criado.
O que são métodos estáticos em classes JavaScript?,"Métodos estáticos são métodos que pertencem à classe em si, em vez de instâncias da classe."
Como você define um método estático em uma classe JavaScript?,`static meuMetodoEstatico() { // código do método }`
O que são getters e setters em classes JavaScript?,Getters e setters são métodos especiais que permitem controlar o acesso e a modificação de propriedades de objetos.
Como você define um getter em uma classe JavaScript?,`get minhaPropriedade() { // código para retornar o valor da propriedade }`
Como você define um setter em uma classe JavaScript?,`set minhaPropriedade(valor) { // código para definir o valor da propriedade }`
O que é o método `Object.create()` em JavaScript?,`Object.create()` cria um novo objeto com o objeto especificado como protótipo.
O que é o método `Object.assign()` em JavaScript?,`Object.assign()` copia os valores de todas as propriedades enumeráveis de um ou mais objetos de origem para um objeto destino.
O que é o método `Object.keys()` em JavaScript?,`Object.keys()` retorna um array com os nomes de todas as propriedades enumeráveis de um objeto.
O que é o método `Object.values()` em JavaScript?,`Object.values()` retorna um array com os valores de todas as propriedades enumeráveis de um objeto.
O que é o método `Object.entries()` em JavaScript?,"`Object.entries()` retorna um array de arrays, onde cada sub-array contém um par chave/valor de um objeto."
O que são regular expressions (regex) em JavaScript?,Regular expressions são padrões usados para corresponder a combinações de caracteres em strings.
Como você cria uma regular expression em JavaScript?,"Usando a sintaxe literal `/padrão/` ou o construtor `new RegExp(""padrão"")`."
O que é o método `test()` de uma regular expression?,`test()` verifica se uma string corresponde ao padrão da regular expression e retorna `true` ou `false`.
O que é o método `exec()` de uma regular expression?,`exec()` executa uma busca por uma correspondência em uma string e retorna um array com informações sobre a correspondência ou `null` se não houver correspondência.
O que é o método `match()` de uma string?,`match()` busca por uma correspondência de uma regular expression em uma string e retorna um array com os resultados ou `null` se não houver correspondência.
O que são quantificadores em regular expressions?,"Quantificadores especificam quantas ocorrências de um caractere, grupo ou classe de caracteres devem estar presentes para que haja uma correspondência."
Dê um exemplo de um quantificador em regular expressions.,"`*` (zero ou mais ocorrências), `+` (uma ou mais ocorrências), `?` (zero ou uma ocorrência), `{n}` (exatamente n ocorrências), `{n,}` (n ou mais ocorrências), `{n,m}` (entre n e m ocorrências)."
O que são character classes em regular expressions?,Character classes definem um conjunto de caracteres que podem ser usados para corresponder a um único caractere em uma string.
Dê um exemplo de uma character class em regular expressions.,"`.` (qualquer caractere, exceto quebras de linha), `\d` (dígito), `\w` (caractere alfanumérico ou underscore), `\s` (espaço em branco), `[abc]` (qualquer caractere entre a, b ou c), `[^abc]` (qualquer caractere diferente de a, b ou c)."
O que são capturing groups em regular expressions?,Capturing groups são partes de uma regular expression que são cercadas por parênteses `()` e que capturam a parte da string que corresponde a esse grupo.
Como você acessa os capturing groups em JavaScript?,Os grupos capturados são armazenados em um array retornado pelo método `exec()` ou `match()`.
O que são lookarounds em regular expressions?,"Lookarounds são construções que permitem corresponder a um padrão com base no que vem antes ou depois dele, sem incluir esses caracteres no resultado da correspondência."
O que é um positive lookahead em regular expressions?,Um positive lookahead `(?=...)` corresponde a um padrão somente se for seguido pelo padrão especificado.
O que é um negative lookahead em regular expressions?,Um negative lookahead `(?!...)` corresponde a um padrão somente se não for seguido pelo padrão especificado.
O que é um positive lookbehind em regular expressions?,Um positive lookbehind `(?<=...)` corresponde a um padrão somente se for precedido pelo padrão especificado.
O que é um negative lookbehind em regular expressions?,Um negative lookbehind `(?<!...)` corresponde a um padrão somente se não for precedido pelo padrão especificado.
O que são flags em regular expressions?,Flags são opções que modificam o comportamento de uma regular expression.
Dê exemplos de flags em regular expressions.,"`g` (global), `i` (ignore case), `m` (multiline), `s` (dotall), `u` (unicode), `y` (sticky)."
O que é um Named Capture Group?,"Um Named Capture Group, permite dar um nome para um grupo de captura da Regex."
Como definir e referenciar um Named Capture Group em JavaScript?,"`(?<nomeDoGrupo>...)` para definir e referenciar com `match.groups.nomeDoGrupo`.

Espero que estas perguntas e respostas sejam úteis para aprofundar seu conhecimento em JavaScript!"
O que é o operador `void` em JavaScript e qual sua principal utilidade?,"O operador `void` avalia uma expressão e retorna `undefined`. Sua principal utilidade é evitar que o resultado de uma expressão, como um `<a>` com `href=""javascript:...""`, sobrescreva o conteúdo da página."
Explique a diferença entre `null` e `undefined` em JavaScript.,"`null` é um valor de atribuição que representa a ausência intencional de um valor. `undefined` significa que uma variável foi declarada, mas ainda não recebeu um valor."
O que é uma closure em JavaScript e como ela funciona?,"Uma closure é a capacidade de uma função em JavaScript de ""lembrar"" e acessar variáveis do escopo léxico em que foi criada, mesmo após a função externa ter retornado. Funciona mantendo uma referência para o escopo léxico externo."
O que é hoisting em JavaScript?,"Hoisting é o comportamento do JavaScript de mover declarações de variáveis (com `var`) e funções para o topo de seus respectivos escopos antes da execução do código.  Atenção: apenas a *declaração* é movida, não a inicialização (atribuição de valor)."
Como você pode verificar se um objeto é um array em JavaScript?,Usando `Array.isArray(objeto)` ou `objeto instanceof Array`.  `Array.isArray()` é a forma mais confiável.
O que é o `use strict` em JavaScript?,"`use strict` é uma diretiva que habilita o modo estrito do JavaScript, impondo regras mais rígidas e ajudando a evitar erros comuns."
Explique o que é o método `bind()` em JavaScript.,"`bind()` cria uma nova função com o `this` definido para um valor específico, permitindo que você defina o contexto de execução da função."
Qual a finalidade dos métodos `call()` e `apply()` em JavaScript?,"`call()` e `apply()` são usados para invocar uma função com um valor `this` específico e argumentos. `call()` recebe argumentos individualmente, enquanto `apply()` recebe um array de argumentos."
O que é o prototype em JavaScript?,O prototype é um objeto associado a cada função e objeto em JavaScript. Permite que objetos herdem propriedades e métodos de seu prototype.
Como funciona a herança prototipal em JavaScript?,"A herança prototipal funciona criando uma cadeia de prototypes, onde cada objeto herda propriedades e métodos do prototype do objeto pai. Isso é feito definindo o prototype de um objeto como uma instância de outro objeto."
Qual a diferença entre uma função declarada (`function myFunction() {}`) e uma expressão de função (`var myFunction = function() {}`) em JavaScript?,"Funções declaradas são hoisted, o que significa que podem ser chamadas antes de sua declaração no código. Expressões de função não são hoisted e devem ser definidas antes de serem chamadas."
O que são Immediately Invoked Function Expressions (IIFE) em JavaScript?,IIFEs são funções que são executadas imediatamente após sua criação. São usadas para criar um escopo isolado e evitar a poluição do escopo global.
O que são getters e setters em JavaScript?,"Getters e setters são métodos especiais que permitem controlar o acesso e a modificação de propriedades de um objeto. Getters retornam o valor de uma propriedade, enquanto setters definem o valor de uma propriedade."
Como você pode clonar um objeto em JavaScript?,"Superficialmente: usando `Object.assign({}, objeto)` ou o operador spread `{...objeto}`. Profundamente: usando JSON.parse(JSON.stringify(objeto)) (com limitações) ou bibliotecas especializadas."
O que são eventos em JavaScript?,"Eventos são ações ou ocorrências que acontecem no navegador (como cliques, pressionamentos de tecla, carregamento de página) às quais o JavaScript pode reagir."
Como você adiciona um event listener a um elemento HTML em JavaScript?,"Usando o método `addEventListener()` do elemento.  Por exemplo: `elemento.addEventListener('click', function() { ... });`"
O que é o bubbling e capturing de eventos em JavaScript?,"Bubbling é quando um evento acionado em um elemento se propaga para seus elementos pai na árvore DOM. Capturing é o oposto, onde o evento é acionado no elemento raiz e se propaga para baixo até o elemento alvo."
O que é o método `preventDefault()` em JavaScript?,"`preventDefault()` impede o comportamento padrão de um evento, como o envio de um formulário ou a navegação para um link."
O que é o objeto `this` em JavaScript e como seu valor é determinado?,"`this` refere-se ao contexto de execução atual. Seu valor é determinado pela forma como a função é chamada. Pode referir-se ao objeto global (em modo não estrito), ao objeto que chamou o método, ou ao objeto especificado com `call()`, `apply()` ou `bind()`."
O que são templates strings (template literals) em JavaScript?,Template strings são strings delimitadas por crases (``) que permitem interpolação de variáveis e expressões dentro da string usando `${...}`.
Explique o operador spread (...) em JavaScript.,O operador spread permite expandir um iterável (como um array ou string) em locais onde zero ou mais argumentos (para chamadas de função) ou elementos (para literais de array) são esperados. Também pode ser usado para criar cópias de objetos.
O que são arrow functions em JavaScript e como elas se diferenciam das funções tradicionais?,Arrow functions são uma forma mais concisa de escrever funções em JavaScript. Elas têm uma sintaxe mais curta e não têm seu próprio `this` (herdam o `this` do contexto circundante). Também não possuem o objeto `arguments`.
Como você lida com operações assíncronas em JavaScript usando Promises?,Usando os métodos `then()` (para lidar com o sucesso) e `catch()` (para lidar com a falha) de uma Promise.
O que são async/await em JavaScript?,"`async/await` são palavras-chave que tornam o código assíncrono mais fácil de ler e escrever. `async` define uma função como assíncrona, e `await` pausa a execução da função até que uma Promise seja resolvida."
O que é o operador `??` (nullish coalescing operator) em JavaScript?,"O operador `??` retorna o operando do lado direito quando o operando do lado esquerdo é `null` ou `undefined`, caso contrário, retorna o operando do lado esquerdo. É diferente de `||`, que retorna o operando do lado direito se o operando do lado esquerdo for falsy (incluindo `0`, `""""`, `false`)."
O que é o operador `?.` (optional chaining operator) em JavaScript?,"O operador `?.` permite acessar propriedades profundamente aninhadas de um objeto sem ter que verificar se cada nível existe. Se qualquer propriedade no caminho for `null` ou `undefined`, a expressão retorna `undefined` em vez de lançar um erro."
O que é o objeto `Map` em JavaScript?,"O objeto `Map` armazena pares chave-valor, onde as chaves podem ser de qualquer tipo de dado (ao contrário de objetos JavaScript tradicionais, onde as chaves são strings ou símbolos). Maps também mantêm a ordem de inserção das chaves."
O que é o objeto `Set` em JavaScript?,O objeto `Set` armazena valores únicos de qualquer tipo de dado. Sets são úteis para remover duplicatas de um array.
O que é o método `Object.freeze()` em JavaScript?,"O método `Object.freeze()` congela um objeto, tornando-o imutável. Novas propriedades não podem ser adicionadas, as propriedades existentes não podem ser removidas e seus valores não podem ser alterados."
O que é o método `Object.seal()` em JavaScript?,"O método `Object.seal()` sela um objeto, impedindo que novas propriedades sejam adicionadas e as propriedades existentes sejam removidas. No entanto, os valores das propriedades existentes ainda podem ser alterados."
O que é o método `Object.defineProperty()` em JavaScript?,"O método `Object.defineProperty()` define uma nova propriedade diretamente em um objeto ou modifica uma propriedade existente e retorna o objeto.  Permite um controle mais fino sobre a criação de propriedades (configurabilidade, enumerabilidade, writability)."
O que é o JSON (JavaScript Object Notation)?,JSON é um formato leve para troca de dados. É baseado em um subconjunto da linguagem JavaScript e é facilmente legível por humanos e máquinas.
Como você converte um objeto JavaScript em uma string JSON e vice-versa?,Usando os métodos `JSON.stringify()` (para converter um objeto em uma string JSON) e `JSON.parse()` (para converter uma string JSON em um objeto JavaScript).
O que são cookies em JavaScript?,"Cookies são pequenos arquivos de texto que os sites armazenam no computador do usuário para lembrar informações sobre ele, como preferências de login ou itens em um carrinho de compras."
"Como você define, lê e remove cookies usando JavaScript?","Definir: `document.cookie = ""nome=valor; expires=DataExpiracao; path=/"";` Ler: `document.cookie;` Remover: Definir um cookie com a mesma chave e uma data de expiração no passado."
O que é o localStorage e sessionStorage em JavaScript?,"localStorage e sessionStorage são APIs de armazenamento web que permitem armazenar dados localmente no navegador do usuário. localStorage armazena dados persistentemente (até que sejam removidos), enquanto sessionStorage armazena dados apenas durante a sessão do navegador."
Qual a diferença entre localStorage e sessionStorage?,"localStorage persiste os dados entre sessões do navegador, enquanto sessionStorage armazena dados apenas para a sessão atual. Quando a aba ou janela do navegador é fechada, os dados do sessionStorage são apagados."
O que é o DOM (Document Object Model)?,"O DOM é uma representação estruturada de um documento HTML ou XML como uma árvore de objetos. Ele permite que o JavaScript acesse e manipule o conteúdo, a estrutura e o estilo de um documento."
Como você seleciona elementos HTML usando JavaScript?,"Usando métodos como `document.getElementById()`, `document.getElementsByClassName()`, `document.getElementsByTagName()`, `document.querySelector()` e `document.querySelectorAll()`."
Como você modifica o conteúdo de um elemento HTML usando JavaScript?,"Usando as propriedades `innerHTML`, `textContent` ou `innerText` do elemento."
Como você adiciona e remove classes CSS de um elemento HTML usando JavaScript?,"Usando as propriedades `classList.add()`, `classList.remove()` e `classList.toggle()` do elemento."
Como você cria um novo elemento HTML usando JavaScript?,Usando o método `document.createElement()` para criar o elemento e `appendChild()` ou `insertBefore()` para adicioná-lo ao DOM.
Como você remove um elemento HTML do DOM usando JavaScript?,Usando o método `removeChild()` do elemento pai ou `remove()` do próprio elemento.
O que é o atributo `data-*` em HTML e como você o acessa usando JavaScript?,`data-*` são atributos personalizados que você pode adicionar a elementos HTML para armazenar dados adicionais. Você pode acessá-los usando a propriedade `dataset` do elemento.
O que é o `requestAnimationFrame()` em JavaScript?,`requestAnimationFrame()` agenda uma função para ser executada antes da próxima repintura do navegador. É usado para criar animações suaves e otimizadas.
O que são módulos em JavaScript (ES Modules)?,Módulos são arquivos JavaScript que podem importar e exportar funcionalidades para outros arquivos. Eles ajudam a organizar o código em partes reutilizáveis e evitam a poluição do escopo global.
Como você importa e exporta funcionalidades em módulos JavaScript (ES Modules)?,"Usando as palavras-chave `import` e `export`.  `export` marca as variáveis/funções/classes que devem ser acessíveis de fora do módulo, e `import` importa esses elementos de outros módulos."
Qual a diferença entre `export default` e `export` (named exports) em JavaScript?,`export default` define uma exportação padrão para um módulo. Cada módulo pode ter apenas uma exportação padrão. `export` (named exports) permite exportar vários valores com nomes específicos.
O que é a função `eval()` em JavaScript e quais os seus riscos?,"`eval()` executa uma string como código JavaScript. É considerado perigoso porque pode executar código arbitrário, tornando seu aplicativo vulnerável a ataques de injeção de código."
Como você cancela um `setTimeout()` ou `setInterval()` em JavaScript?,Usando as funções `clearTimeout()` (para cancelar um `setTimeout()`) e `clearInterval()` (para cancelar um `setInterval()`).
O que são expressões regulares (RegEx) em JavaScript?,"Expressões regulares são padrões que descrevem um conjunto de strings. Elas são usadas para pesquisar, substituir e validar strings em JavaScript."
Como você cria uma expressão regular em JavaScript?,Usando a notação literal `/padrão/` ou o construtor `new RegExp('padrão')`.
Quais são alguns métodos comuns de string que usam expressões regulares em JavaScript?,"`search()`, `match()`, `replace()` e `split()`."
O que são erros `TypeError` em JavaScript?,"Erros `TypeError` ocorrem quando uma operação é realizada em um valor de um tipo inesperado, por exemplo, chamar um método em um valor `undefined` ou `null`."
O que são erros `ReferenceError` em JavaScript?,Erros `ReferenceError` ocorrem quando você tenta usar uma variável que não foi declarada.
O que são erros `SyntaxError` em JavaScript?,"Erros `SyntaxError` ocorrem quando o código JavaScript não está sintaticamente correto, ou seja, viola as regras da linguagem."
Como você pode tratar erros em JavaScript?,"Usando blocos `try...catch`. O código que pode gerar um erro é colocado dentro do bloco `try`, e o código que lida com o erro é colocado dentro do bloco `catch`."
O que é o bloco `finally` em um bloco `try...catch` em JavaScript?,"O bloco `finally` é executado sempre, independentemente de ocorrer um erro ou não no bloco `try`. É usado para realizar ações de limpeza, como fechar arquivos ou liberar recursos."
O que é o objeto `console` em JavaScript?,"O objeto `console` fornece acesso ao console de depuração do navegador. Ele é usado para exibir mensagens, avisos e erros, bem como para registrar informações sobre o código em execução."
Quais são alguns métodos comuns do objeto `console` em JavaScript?,"`console.log()`, `console.warn()`, `console.error()`, `console.table()`, `console.time()` e `console.timeEnd()`."
O que é o método `debugger` em JavaScript?,"O método `debugger` insere um ponto de interrupção no código, permitindo que você depure o código usando as ferramentas de desenvolvedor do navegador."
Quais são os tipos de dados primitivos em JavaScript?,"`string`, `number`, `boolean`, `null`, `undefined`, `symbol` e `bigint`."
O que é a coerção de tipo em JavaScript?,Coerção de tipo é a conversão automática de um tipo de dado para outro pelo JavaScript.
O que são valores truthy e falsy em JavaScript?,"Valores truthy são valores que são avaliados como `true` em um contexto booleano (por exemplo, `1`, `""hello""`, `[]`, `{}`). Valores falsy são valores que são avaliados como `false` em um contexto booleano (por exemplo, `0`, `""""`, `null`, `undefined`, `NaN`)."
O que é o operador ternário (condicional) em JavaScript?,O operador ternário é uma forma concisa de escrever uma instrução `if...else`. Sua sintaxe é `condição ? expressão1 : expressão2`.
O que é o operador vírgula em JavaScript?,O operador vírgula avalia cada um de seus operandos (da esquerda para a direita) e retorna o valor do último operando.
O que são labels em JavaScript?,Labels são identificadores que podem ser usados com as instruções `break` e `continue` para controlar o fluxo de loops aninhados.
O que é o método `Array.map()` em JavaScript?,`Array.map()` cria um novo array com os resultados da chamada de uma função fornecida em cada elemento do array original.
O que é o método `Array.filter()` em JavaScript?,`Array.filter()` cria um novo array com todos os elementos que passam no teste implementado pela função fornecida.
O que é o método `Array.reduce()` em JavaScript?,`Array.reduce()` aplica uma função a um acumulador e a cada elemento de um array (da esquerda para a direita) para reduzi-lo a um único valor.
